Gestor de red;Provincia;Municipio;Coordenada UTM X;Coordenada UTM Y;Subestación;Nivel de Tensión (kV);Capacidad disponible (MW);Capacidad comprometida por cuestiones regulatorias;Capacidad ocupada (MW);Capacidad admitida y no resuelta (MW);Posiciones ocupadas;Posiciones libres;Nudo Afección RdT;Nudo limitado por Scc ;Nudo 0*;Comentarios;Comunidad Autónoma;Nombre Subestación;Provincia;Municipio
R1-299;4;4079;535771,67;4074262,07;58038225;66;0;0;0;0;;;BERJA 220;0;0;;01 - Andalucía;AGUADULC;Almería;Roquetas de Mar
R1-299;4;4079;535771,67;4074262,07;58038225;20;0;0;0,59;0;;;BERJA 220;0;0;;01 - Andalucía;AGUADULC;Almería;Roquetas de Mar
R1-299;4;4006;575906,01;4135997,4;510032846;66;0;0;0;0;;;LITORAL 400;0;0;;01 - Andalucía;ALBOX;Almería;Albox
R1-299;4;4006;575906,01;4135997,4;510032846;25;0;0;15,95;0;;;LITORAL 400;0;0;;01 - Andalucía;ALBOX;Almería;Albox
R1-299;4;4007;503257,52;4091485,03;510033028;66;0;0;0;0;;;BERJA 220;0;0;;01 - Andalucía;ALCOLEA;Almería;Alcolea
R1-299;4;4007;503257,52;4091485,03;510033028;20;0;0;4,54;0;;;BERJA 220;0;0;;01 - Andalucía;ALCOLEA;Almería;Alcolea
R1-299;4;4013;550658,46;4077243,59;531389487;132;0;0;0;0;;;LITORAL 400;0;0;;01 - Andalucía;ANDARAX;Almería;Almería
R1-299;4;4013;550658,46;4077243,59;531389487;66;0;0;0;0;;;LITORAL 400;0;0;;01 - Andalucía;ANDARAX;Almería;Almería
R1-299;4;4013;550658,46;4077243,59;531389487;20;0;0;2,15;0;;;LITORAL 400;0;0;;01 - Andalucía;ANDARAX;Almería;Almería
R1-299;4;4013;546841,66;4078401,93;59032125;66;0;0;0;0;;;LITORAL 400;0;0;;01 - Andalucía;BELEN;Almería;Almería
R1-299;4;4013;546841,66;4078401,93;59032125;20;0;0;0,07;0;;;LITORAL 400;0;0;;01 - Andalucía;BELEN;Almería;Almería
R1-299;4;4024;547587,76;4084860,19;510031608;132;0;0;40,93;0;;;BENAHADUX 220;0;0;;01 - Andalucía;BENAHADU;Almería;Benahadux
R1-299;4;4024;547587,76;4084860,19;510031608;66;0;0;9,9;0;;;BENAHADUX 220;0;0;;01 - Andalucía;BENAHADU;Almería;Benahadux
R1-299;4;4024;547587,76;4084860,19;510031608;20;0;0;29,73;0;;;BENAHADUX 220;0;0;;01 - Andalucía;BENAHADU;Almería;Benahadux
R1-299;4;4029;506827,46;4076325,54;59031733;66;0;0;0;0;;;BERJA 220;0;0;;01 - Andalucía;BERJA;Almería;Berja
R1-299;4;4029;506827,46;4076325,54;59031733;20;0;0;1,7;0;;;BERJA 220;0;0;;01 - Andalucía;BERJA;Almería;Berja
R1-299;4;4031;567252,5;4135903,71;531858646;66;0;0;19,8;0;;;LITORAL 400;0;0;;01 - Andalucía;CANTORIA;Almería;Cantoria
R1-299;4;4032;597120,19;4092843,61;59032580;132;0;0;80;0;;;LITORAL 400;0;0;;01 - Andalucía;CARBONER;Almería;Carboneras
R1-299;4;4032;597120,19;4092843,61;59032580;20;0;0;2,17;0;;;LITORAL 400;0;0;;01 - Andalucía;CARBONER;Almería;Carboneras
R1-299;4;4903;528430,08;4072234,8;58037946;66;0;0;0;0;;;BERJA 220;0;0;;01 - Andalucía;COSARIO;Almería;Mojonera, La
R1-299;4;4903;528430,08;4072234,8;58037946;20;0;0;6,49;0;;;BERJA 220;0;0;;01 - Andalucía;COSARIO;Almería;Mojonera, La
R1-299;4;4902;521012,47;4064606,76;59031889;66;0;0;0;0;;;BERJA 220;0;0;;01 - Andalucía;CUMBRES;Almería;Ejido, El
R1-299;4;4902;521012,47;4064606,76;59031889;20;0;0;2,02;0;;;BERJA 220;0;0;;01 - Andalucía;CUMBRES;Almería;Ejido, El
R1-299;4;4013;551301,31;4074626,68;531415321;66;0;0;0;0;;;LITORAL 400;0;0;;01 - Andalucía;DESALADO;Almería;Almería
R1-299;4;4902;514561,93;4070051,68;531065587;66;0;0;0;0;;;BERJA 220;0;0;;01 - Andalucía;EJIDO;Almería;Ejido, El
R1-299;4;4902;514561,93;4070051,68;531065587;20;0;0;1,25;0;;;BERJA 220;0;0;;01 - Andalucía;EJIDO;Almería;Ejido, El
R1-299;4;4066;576346,86;4093418,73;533400468;132;0;0;33,2;0;;;LITORAL 400;0;0;;01 - Andalucía;EMBALSE;Almería;Níjar
R1-299;4;4041;533131,94;4084986,83;531095418;66;0;0;0;0;;;BERJA 220;0;0;;01 - Andalucía;ENIX;Almería;Enix
R1-299;4;4041;533131,94;4084986,83;531095418;20;0;0;13,2;0;;;BERJA 220;0;0;;01 - Andalucía;ENIX;Almería;Enix
R1-299;4;4044;564134,71;4135034,06;510032945;66;0;0;5,32;0;;;LITORAL 400;0;0;;01 - Andalucía;FINES;Almería;Fines
R1-299;4;4044;564134,71;4135034,06;510032945;25;0;0;5,89;0;;;LITORAL 400;0;0;;01 - Andalucía;FINES;Almería;Fines
R1-299;4;4094;566883,22;4101577,74;533135109;132;0;0;35;0;;;LITORAL 400;0;0;;01 - Andalucía;GRUPOTEC;Almería;Turrillas
R1-299;4;4053;592238,49;4136499,92;54049094;66;0;0;0;0;;;LITORAL 400;0;0;;01 - Andalucía;H_OVERA;Almería;Huércal-Overa
R1-299;4;4053;592238,49;4136499,92;54049094;25;0;0;11,26;0;;;LITORAL 400;0;0;;01 - Andalucía;H_OVERA;Almería;Huércal-Overa
R1-299;4;4032;597363,78;4091626,22;531159467;132;0;0;0;0;;;LITORAL 400;0;0;;01 - Andalucía;HIBERICO;Almería;Carboneras
R1-299;4;4099;579790,89;4167682,03;532718396;25;0;0;1,27;0;;;LITORAL 400;0;0;;01 - Andalucía;LOSVELEZ;Almería;Vélez-Rubio
R1-299;4;4060;573662,52;4096924,77;532336145;132;0;0;21,5;0;;;LITORAL 400;0;0;;01 - Andalucía;LUCAINEN;Almería;Lucainena de las Torres
R1-299;4;4064;603420,83;4112594,88;532142247;132;0;0;0;0;;;LITORAL 400;0;0;;01 - Andalucía;MOJACAR;Almería;Mojácar
R1-299;4;4064;603420,83;4112594,88;532142247;25;0;0;0,07;0;;;LITORAL 400;0;0;;01 - Andalucía;MOJACAR;Almería;Mojácar
R1-299;4;4013;550135,84;4079816,3;533244962;132;0;0;0;0;;;LITORAL 400;0;0;;01 - Andalucía;MOLINOS;Almería;Almería
R1-299;4;4013;550135,84;4079816,3;533244962;20;0;0;0;0;;;LITORAL 400;0;0;;01 - Andalucía;MOLINOS;Almería;Almería
R1-299;4;4024;546952,93;4087540,24;54046749;132;0;0;0;0;;;LITORAL 400;0;0;;01 - Andalucía;NARANJOS;Almería;Benahadux
R1-299;4;4024;546952,93;4087540,24;54046749;66;0;0;0;0;;;LITORAL 400;0;0;;01 - Andalucía;NARANJOS;Almería;Benahadux
R1-299;4;4024;546952,93;4087540,24;54046749;25;0;0;13,99;0;;;LITORAL 400;0;0;;01 - Andalucía;NARANJOS;Almería;Benahadux
R1-299;4;4066;574797,37;4085788,28;59032775;132;0;0;80;0;;;LITORAL 400;0;0;;01 - Andalucía;PIPACES;Almería;Níjar
R1-299;4;4066;574797,37;4085788,28;59032775;20;0;0;1,96;0;;;LITORAL 400;0;0;;01 - Andalucía;PIPACES;Almería;Níjar
R1-299;4;4079;532097,24;4064551,12;532266840;66;0;0;0;0;;;BERJA 220;0;0;;01 - Andalucía;PLAYA_SE;Almería;Roquetas de Mar
R1-299;4;4079;532097,24;4064551,12;532266840;20;0;0;0,29;0;;;BERJA 220;0;0;;01 - Andalucía;PLAYA_SE;Almería;Roquetas de Mar
R1-299;4;4035;606723,84;4124819,36;531584884;66;0;0;0;0;;;LITORAL 400;0;0;;01 - Andalucía;PORTILLO;Almería;Cuevas del Almanzora
