Gestor de Red;Provincia;Municipio;Coordenada UTM X;Coordenada UTM Y;Subestación;Nivel de Tensión (kV);Capacidad disponible (MW);Capacidad comprometida por cuestiones regulatorias;Capacidad ocupada (MW);Capacidad admitida y no resuelta (MW);Posiciones ocupadas;Posiciones libres;Nudo Afección RdT;Nudo limitado por Scc ;Nudo 0*;Comentarios;Comunidad Autónoma;Nombre Subestación
R1-299;Almería;Roquetas de Mar;535771,6685;4074262,065;58038225;66;0;0;0;0;;;BERJA 220;0;0;;01 - Andalucía;AGUADULC
R1-299;Almería;Roquetas de Mar;535771,6685;4074262,065;58038225;20;0;0;0,6;0;;;BERJA 220;0;0;;01 - Andalucía;AGUADULC
R1-299;Almería;Albox;575906,0088;4135997,397;510032846;66;0;0;0;0;;;LITORAL 400;0;0;;01 - Andalucía;ALBOX
R1-299;Almería;Albox;575906,0088;4135997,397;510032846;25;0;0;16;0;;;LITORAL 400;0;0;;01 - Andalucía;ALBOX
R1-299;Almería;Alcolea;503257,5208;4091485,031;510033028;66;0;0;0;0;;;BERJA 220;0;0;;01 - Andalucía;ALCOLEA
R1-299;Almería;Alcolea;503257,5208;4091485,031;510033028;20;0;0;4,5;0;;;BERJA 220;0;0;;01 - Andalucía;ALCOLEA
R1-299;Almería;Almería;550658,4576;4077243,589;531389487;132;0;0;0;0;;;LITORAL 400;0;0;;01 - Andalucía;ANDARAX
R1-299;Almería;Almería;550658,4576;4077243,589;531389487;66;0;0;0;0;;;LITORAL 400;0;0;;01 - Andalucía;ANDARAX
R1-299;Almería;Almería;550658,4576;4077243,589;531389487;20;0;0;2,1;0;;;LITORAL 400;0;0;;01 - Andalucía;ANDARAX
R1-299;Almería;Almería;546841,6562;4078401,93;59032125;66;0;0;0;0;;;LITORAL 400;0;0;;01 - Andalucía;BELEN
R1-299;Almería;Almería;546841,6562;4078401,93;59032125;20;0;0;0,1;0;;;LITORAL 400;0;0;;01 - Andalucía;BELEN
R1-299;Almería;Benahadux;547587,7577;4084860,186;510031608;132;0;0;40,9;0;;;BENAHADUX 220;0;0;;01 - Andalucía;BENAHADU
