Gestor de red;Provincia;Municipio;Coordenada UTM X;Coordenada UTM Y;Subestación;Nivel de Tensión (kV);Capacidad firme disponible (MW);Capacidad comprometida por cuestiones regulatorias;Capacidad de acceso firme de demanda ocupada (MW);Capacidad de acceso firme admitida y no evaluada (MW);Posiciones ocupadas;Posiciones libres;Nudo 0*;Comentarios;Denominación del Punto de Conexión;Identificador del Punto de Conexión
R1-001;Araba/Álava;Ayala/Aiara;499100,028809514;4770106,21764367;3102;30;0;0;60,19;0;;;0;;ST AIALA    30.000;0025740000
R1-001;Araba/Álava;Vitoria-Gasteiz;523922,106338171;4744874,00934341;3017;13,2;0;0;15;0;;;0;;ALI T3      ;0101065005
R1-001;Araba/Álava;Vitoria-Gasteiz;523922,106338171;4744874,00934341;3017;30;0;0;72,62;0;;;1;;ALI T3      30.000;0025230001
R1-001;Araba/Álava;Vitoria-Gasteiz;523922,106338171;4744874,00934341;3017;13,2;0;0;10,45;0;;;0;;ALI T4      ;0101065007
R1-001;Araba/Álava;Vitoria-Gasteiz;523922,106338171;4744874,00934341;3017;30;0;0;72,27;0;;;1;;ALI T4      30.000;0025230002
R1-001;Araba/Álava;Vitoria-Gasteiz;523922,106338171;4744874,00934341;3017;30;0;0;52,58;0;;;1;;ST,STR ALI A30.000;0025230000
R1-001;Araba/Álava;Vitoria-Gasteiz;523922,106338171;4744874,00934341;3017;30;0;0;0;0;;;1;;ST,STR ALI B30.000;0025230003
R1-001;Araba/Álava;Lantarón;496067,838318039;4733753,66690816;3033;132;0;0;70;0;;;0;;PUENTELARRA    132.00;0031002354
R1-001;Araba/Álava;Lantarón;496067,838318039;4733753,66690816;3033;30;0;0;6,74;0;;;0;;PUENTELARRA 30 T2;0201303301
R1-001;Araba/Álava;Lantarón;496067,838318039;4733753,66690816;3033;30;0;0;3,1;0;;;0;;PUENTELARRA 30 T3;0201303302
R1-001;Araba/Álava;Lantarón;496067,838318039;4733753,66690816;3033;45;0;0;0;0;;;0;;PUENTELARRA T4 45;0031001401
R1-001;Araba/Álava;Lantarón;493257,770480374;4734762,93410185;3140;132;0;0;0;0;;;0;;SOBRON      132.00;0014002399
R1-001;Araba/Álava;Barrundia;544887,782646663;4749030,22002321;3204;30;0;0;71,7;0;;;1;;ST ELGEA    30.000;0025210000
R1-001;Araba/Álava;Vitoria-Gasteiz;527264,256533873;4746343,53741936;3054;30;0;0;58,9;0;;;1;;GAMARRA B   30.000;0025220010
R1-001;Araba/Álava;Vitoria-Gasteiz;527264,256533873;4746343,53741936;3054;30;0;0;102,86;0;;;1;;ST GAMARRA A30.000;0025220000
R1-001;Araba/Álava;Vitoria-Gasteiz;520700,219303056;4742667,91902041;3127;30;0;0;118,45;0;;;1;;ST JUNDIZ   30.000;0025240000
R1-001;Araba/Álava;Laudio/Llodio;503887,615832783;4776766,38791864;3057;13,2;0;0;8,43;0;;;0;;LLODIO T3   ;0101125902
R1-001;Araba/Álava;Laudio/Llodio;503887,615832783;4776766,38791864;3057;132;0;0;60;0;;;1;;LLODIO/A    132.00;0032002288
R1-001;Araba/Álava;Laudio/Llodio;503887,615832783;4776766,38791864;3057;132;0;0;0;0;;;1;;LLODIO/B    132.00;0032002291
R1-001;Araba/Álava;Laudio/Llodio;503887,615832783;4776766,38791864;3057;30;0;0;46,97;0;;;0;;ST LLODIO   30.000;0025730000
R1-001;Araba/Álava;Vitoria-Gasteiz;532410,895298604;4747983,41101887;3101;30;0;0;108,1;0;;;1;;ST VITORIA  30.000;0025270000
R1-001;Araba/Álava;Amurrio;499626,106515305;4767026,60762756;4537;13,2;0;0;5,13;0;;;0;;AMURRIO T1  ;0101065013
R1-001;Araba/Álava;Amurrio;499626,106515305;4767026,60762756;4537;30;0;0;0;0;;;0;;AMURRIO T1  30.000;0025740420
R1-001;Araba/Álava;Amurrio;499626,106515305;4767026,60762756;4537;13,2;0;0;2,44;0;;;0;;AMURRIO T2  ;0101065015
R1-001;Araba/Álava;Amurrio;499626,106515305;4767026,60762756;4537;30;0;0;0;0;;;0;;AMURRIO T2  30.000;0025740318
