Gestor de red;Provincia;Municipio;Coordenada UTM X;Coordenada UTM Y;Subestación ;Nivel de tensión (kV);Capacidad firme disponible (MW);Capacidad comprometida por cuestiones regulatorias;Capacidad de acceso firme de demanda ocupada (MW);Capacidad de acceso firme admitida y no evaluada (MW);Posiciones ocupadas;Posiciones libres;Nudo 0*;Comentarios;Nombre subestación
R1-005;Asturias;Valdés;215.356,7;4.825.840,4;101;20;8,97;0;16,03;0;0;0;0;;ALMUÑA
R1-005;Asturias;Valdés;215.356,7;4.825.840,4;101;132;30;0;0;0;0;0;0;;ALMUÑA
R1-005;Asturias;Coaña;198.270,1;4.820.751,9;158;30;1,91;0;23,09;0;0;0;0;;ARBON
R1-005;Asturias;Coaña;198.270,1;4.820.751,9;158;132;30;0;79;0;0;0;0;;ARBON
R1-005;Asturias;Cabrales;353.203,8;4.795.814,4;540;132;3;0;0;0;0;0;0;;ARENAS
R1-005;Asturias;Mieres;270.537,7;4.795.210,5;212;12;0;0;1,95;0;0;0;1;;BAIÑA
R1-005;Asturias;Mieres;270.537,7;4.795.210,5;212;30;1,39;0;0,6;0;0;0;0;;BAIÑA
R1-005;Asturias;Cabrales;351.354,5;4.791.325,5;560;132;3;0;0;0;0;0;0;;CAMARMEÑA
R1-005;Asturias;Lena;271.011,4;4.776.288,6;754;12;0,19;0;1,1;0;0;0;0;;CAMPOMANES
R1-005;Asturias;Lena;271.011,4;4.776.288,6;754;30;0;0;0;0;0;0;1;;CAMPOMANES
R1-005;Asturias;Cangas de Onís;327.246,1;4.801.252,1;574;132;3;0;7;7;0;0;0;;CANGAS
R1-005;Asturias;Illano;190.402,5;4.811.139,7;59;30;7,5;0;0;0;0;0;0;;DOIRAS
R1-005;Asturias;Illano;190.402,5;4.811.139,7;59;132;30;0;0;0;0;0;0;;DOIRAS
R1-005;Asturias;Allande;201.593,3;4.797.451,4;82;132;0;0;0;0;0;0;1;;EL PALO
R1-005;Asturias;Aller;290.504,1;4.779.522,7;192;12;1,56;0;2,52;0;0;0;0;;ENTREPEÑAS
R1-005;Asturias;Aller;290.504,1;4.779.522,7;192;30;1,56;0;0;0;0;0;0;;ENTREPEÑAS
R1-005;Asturias;Navia;195.730,4;4.827.514,0;93;20;6,35;0;12,12;0;0;0;0;;JARRIO
R1-005;Asturias;Navia;195.730,4;4.827.514,0;93;132;9;0;0;0;0;0;0;;JARRIO
