Gestor de red;Provincia;Municipio;Coordenada UTM X;Coordenada UTM Y;Subestación;Nivel de Tensión (kV);Capacidad disponible (MW);Capacidad comprometida por cuestiones regulatorias;Capacidad ocupada (MW);Capacidad admitida y no resuelta (MW);Posiciones ocupadas;Posiciones libres;Nudo Afección RdT;Nudo limitado por Scc;Nudo 0*;Comentarios;Nombre Subestación;" Capacidad admitida y no resuelta (MW) 
Eólica";" Capacidad admitida y no resuelta (MW)
 Solar";" Capacidad admitida y no resuelta (MW) 
Almacenamiento";" Capacidad admitida y no resuelta (MW) 
Otras"
R1-005;Asturias;Valdés;215.356,7;4.825.840,4;101;20;0;1;0;0;;;Salas 400 kV;0;0;Afección a nudo concurso capacidad;ALMUÑA;0;0;0;0
R1-005;Asturias;Valdés;215.356,7;4.825.840,4;101;132;0;1;0;0;;;Salas 400 kV;0;1;Afección a nudo concurso capacidad;ALMUÑA;0;0;0;0
R1-005;Asturias;Coaña;198.270,1;4.820.751,9;158;30;0;1;24;0;;;Salas 400 kV;0;0;Afección a nudo concurso capacidad;ARBON;0;0;0;0
R1-005;Asturias;Coaña;198.270,1;4.820.751,9;158;132;0;1;133,015;0;;;Salas 400 kV;0;1;Afección a nudo concurso capacidad;ARBON;0;0;0;0
R1-005;Asturias;Cabrales;353.203,8;4.795.814,4;540;132;0;1;8,3;0;;;Siero 220 kV;0;1;Afección a nudo concurso capacidad;ARENAS;0;0;0;0
R1-005;Asturias;Mieres;270.537,7;4.795.210,5;212;12;0;1;0;0;;;Soto 220 kV;0;0;Afección a nudo transición justa;BAIÑA;0;0;0;0
R1-005;Asturias;Mieres;270.537,7;4.795.210,5;212;30;0;1;0;0;;;Soto 220 kV;0;0;Afección a nudo transición justa;BAIÑA;0;0;0;0
R1-005;Asturias;Cabrales;351.354,5;4.791.325,5;560;132;0;1;12,77;0;;;Siero 220 kV;0;1;Afección a nudo concurso capacidad;CAMARMEÑA;0;0;0;0
R1-005;Asturias;Lena;271.011,4;4.776.288,6;754;12;0;0;0;0;;;Telledo 220 kV;0;0;;CAMPOMANES;0;0;0;0
R1-005;Asturias;Lena;271.011,4;4.776.288,6;754;30;0;0;0;0;;;Telledo 220 kV;0;0;;CAMPOMANES;0;0;0;0
R1-005;Asturias;Cangas de Onís;327.246,1;4.801.252,1;574;132;0;1;44,65;0;;;Siero 220 kV;0;0;Afección a nudo concurso capacidad;CANGAS;0;0;0;0
R1-005;Asturias;Illano;190.402,5;4.811.139,7;59;30;0;1;15,95;0;;;Salas 400 kV;0;0;Afección a nudo concurso capacidad;DOIRAS;0;0;0;0
R1-005;Asturias;Illano;190.402,5;4.811.139,7;59;132;0;1;143,26;0;;;Salas 400 kV;0;1;Afección a nudo concurso capacidad;DOIRAS;0;0;0;0
